Topic,Count,Name,Representation,Representative_Docs
-1,36,-1_области пересекли_пересекли более_сутки границу_россии ростовской,"['области пересекли', 'пересекли более', 'сутки границу', 'россии ростовской', 'рф ростовской', 'границу рф', 'границу россии', '15 тыс', 'более 16', '']","['За сутки границу РФ в Ростовской области пересекли более 15 тыс. жителей Донбасса', 'За сутки границу РФ в Ростовской области пересекли более 15 тыс. жителей Донбасса', 'За сутки границу РФ в Ростовской области пересекли более 15 тыс. жителей Донбасса']"
0,844,0_для_беженцев_помощи_прибыли,"['для', 'беженцев', 'помощи', 'прибыли', 'на', 'беженцев из', 'гуманитарной', 'гуманитарной помощи', 'эвакуированных жителей', 'тонн']","['Число прибывших в РФ с территории Украины и Донбасса беженцев превысило 3,8 млн', 'Число прибывших в РФ беженцев с территории Украины и Донбасса превысило 5,4 млн человек', 'Жители Забайкалья собрали более 20 тонн гуманитарной помощи для беженцев из ДНР и ЛНР']"
1,131,1_детей из_школы_лагерях_сирот,"['детей из', 'школы', 'лагерях', 'сирот', 'детей сирот', 'дети', 'школах', 'отдохнут', 'сирот из', 'донбасса детей']","['В санаториях и лагерях Крыма отдохнут 4,5 тыс. детей из Херсонской и Запорожской областей', '""Артек"" примет на отдых детей из Херсонской и Запорожской областей', 'Порядка 300 детей из донецкой Макеевки отдохнут в лагерях Югры летом 2022 года']"
2,101,2_тыс человек_эвакуировали_человек эвакуировали_россию,"['тыс человек', 'эвакуировали', 'человек эвакуировали', 'россию', 'эвакуированы', 'эвакуировали за', 'районов', 'опасных районов', 'из опасных', 'опасных']","['Более 19,5 тыс. человек эвакуировали за сутки из опасных районов Украины и Донбасса', 'МО РФ: более 7,5 тыс. человек эвакуировали за сутки из опасных районов Донбасса и Украины', 'Более 27 тыс. человек эвакуировали в Россию за сутки из опасных районов Донбасса и Украины']"
3,93,3_пересекли границу_донбасса пересекли_границу рф_области более,"['пересекли границу', 'донбасса пересекли', 'границу рф', 'области более', 'пересекли за', 'рф ростовской', 'сутки границу', 'границу россии', 'сутки пересекли', 'россии пересекли']","['Около 7 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области', 'Более 11 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области', 'Более 15 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области']"
4,52,4_пересекли более_области пересекли_россии ростовской_донбасса границу,"['пересекли более', 'области пересекли', 'россии ростовской', 'донбасса границу', 'сутки границу', 'границу россии', 'рф ростовской', 'границу рф', 'пересекло более', 'сутки пересекли']","['За сутки границу России в Ростовской области пересекли более 18 тыс. жителей Донбасса', 'За сутки границу России в Ростовской области пересекли более 20 тыс. жителей Донбасса', 'За сутки границу России в Ростовской области пересекли более 14 тыс. жителей Донбасса']"
